Type,Display_name,Date,Contents,Categories,translated_content,cleaned_data,neg,neu,pos,compound,sentiment_label
Post,Timothy Andrew Alonzo,2024-08-21,"Our family recently stayed at Pagyanan Transient House, and it was a wonderful experience. Ate Jho was responsive and attentive from start to finish. The house was spotless, and everything was in perfect working order. The location was peaceful and close to the beach. Highly recommended!",Experience,"Our family recently stayed at Pagyanan Transient House, and it was a wonderful experience. Sister Jho was responsive and attentive from start to finish. The house was spotless, and everything was in perfect working order. The location was peaceful and close to the beach. Highly recommended!",family recently stayed pagyanan transient house wonderful experience sister jho responsive attentive start finish house spotless everything perfect working order location peaceful close beach highly recommended,0.0,0.541,0.459,0.9432,positive
Tweet,Ben,2024-03-05,#ELYU sunset is the best ,Experience,#ELYU sunset is the best,elyu sunset best,0.0,0.323,0.677,0.6369,positive
Tweet,Sexy Hot Hunk Ken,2019-12-01,"Best coffee shop in San Juan, La Union 
 !!! Highly recommended their original sweet chai O' mine, and their Dirty Horchata! ",Food,"Best coffee shop in San Juan, La Union 
 !!! Highly recommended their original sweet chai O' mine, and their Dirty Horchata!",best coffee shop san juan la union highly recommended original sweet chai mine dirty horchata,0.116,0.399,0.485,0.8495,positive
Tweet,JessicaHuang,2024-10-18,"Despite its reputation, San JuanÆs sunsets can be quite inconsistent and less spectacular.",Experience,"Despite its reputation, San Juan's sunsets can be quite inconsistent and less spectacular.",despite reputation san juans sunset quite inconsistent le spectacular,0.0,1.0,0.0,0.0,positive
Tweet,Glennntong,2024-03-03,Bauang beach mas calmer Yung waves kesa sa San Juan elyu,Accomodation,Bauang beach has calmer waves than San Juan elyu,bauang beach calmer wave san juan elyu,0.0,0.706,0.294,0.3612,positive
Post,Jared Banzon,2021-07-25,San Juan is where you get the best of both worldsùsurfing and good food!,Experience,"San Juan is where you get the best of both worlds, surfing and good food!",san juan get best world surfing good food,0.0,0.458,0.542,0.7964,positive
Tweet,ariel_37,2024-08-25,"I loved the outdoor seating at Beach Bum Food Park, but the food was just okay.",Experience,"I loved the outdoor seating at Beach Bum Food Park, but the food was just okay.",loved outdoor seating beach bum food park food okay,0.0,0.547,0.453,0.7003,positive
Tweet,sowakoofever1__,2022-01-09,Amazing waves and food at KahunaùElyu never fails to deliver  #SJFeels #ElyuLife,Experience,Amazing waves and food at KahunaùElyu never fails to deliver #SJFeels #ElyuLife,amazing wave food kahunaùelyu never fails deliver sjfeels elyulife,0.0,0.533,0.467,0.7296,positive
Post,Anthony Stramiello,2019-10-13,"If you have never had La Union fried chicken, you donÆt know what you are missing.",Food,"If you have never had La Union fried chicken, you donÆt know what you are missing.",never la union fried chicken donæt know missing,0.239,0.761,0.0,-0.296,negative
Tweet,Devante de Leon,2023-03-17,Pottery in Taboc felt overpriced for what we got. A bit underwhelming.,Experience,Pottery in Taboc felt overpriced for what we got. A bit underwhelming.,pottery taboc felt overpriced got bit underwhelming,0.0,1.0,0.0,0.0,positive
Post,Hector Bautista,2021-02-13,Spent the weekend at Clean Beach Resort. Peaceful place with delicious food.,Experience,Spent the weekend at Clean Beach Resort. Peaceful place with delicious food.,spent weekend clean beach resort peaceful place delicious food,0.0,0.385,0.615,0.8625,positive
Post,Gabriella Sebastian,2021-09-27,Clean Beach Resort is a tranquil haven with excellent food options and a beautiful beach.,Experience,Clean Beach Resort is a tranquil haven with excellent food options and a beautiful beach.,clean beach resort tranquil excellent food option beautiful beach,0.0,0.303,0.697,0.8885,positive
Reply,Meng,2023-11-15,sj elyu is overhyped,Experience,sj elyu is overhyped,sj elyu overhyped,0.0,1.0,0.0,0.0,positive
Post,Aileen Maeá,2021-12-21,5 out of 5! Super bait ng mga staff. Respectful at maayos kausap. Malinis ang rooms and very spacious.,Accomodation,5 out of 5! The staff is super kind. Respectful and easy to talk to. The rooms are clean and very spacious.,5 5 staff super kind respectful easy talk room clean spacious,0.0,0.274,0.726,0.9423,positive
Post,Nicole Anne Salas,2024-01-19,"The accommodations were tidy and comfortable, with all necessary amenities provided. ItÆs easily accessible to transportation and nearby minimarts, which is helpful for avoiding expensive restaurant meals. Perfect for family outings.",Experience,"The accommodations were tidy and comfortable, with all necessary amenities provided. ItÆs easily accessible to transportation and nearby minimarts, which is helpful for avoiding expensive restaurant meals. Perfect for family outings.",accommodation tidy comfortable necessary amenity provided itæs easily accessible transportation nearby minimarts helpful avoiding expensive restaurant meal perfect family outing,0.081,0.507,0.412,0.8689,positive
Post,"Hey, EatsTrish",2023-02-09,Honey Bagoong (Php 280) - I never thought that bagoong would taste this good with fried chicken. It had eggplant salsa and kare kare dipping sauce. Grabe po.,Food,Honey Bagoong (Php 280) - I never thought that bagoong would taste this good with fried chicken. It had eggplant salsa and kare kare dipping sauce. It's terrible.,honey bagoong php 280 never thought bagoong would taste good fried chicken eggplant salsa kare kare dipping sauce terrible,0.135,0.739,0.126,-0.0516,negative
Comment,Nena InPolandá,2024-02-10,"Pretty sissy ,ganda ng viewá",Activities,"Pretty sissy, nice view",pretty sissy nice view,0.0,0.25,0.75,0.7184,positive
Post,JerssyJebron ThirdyMel DassyJane,2023-10-12,"CarltonÆs Lodge is a quiet, tidy, spacious and relaxing place to stay. It is a perfect location, very easy to get around with public transportation and walking distance to awesome bars and restaurants.Carlton and Bert was very nice, easy to talk to and very friendly. I would 100% recommend a stay here. Absolutely loved it!",Accomodation,"CarltonÆs Lodge is a quiet, tidy, spacious and relaxing place to stay. It is a perfect location, very easy to get around with public transportation and walking distance to awesome bars and restaurants. Carlton and Bert were very nice, easy to talk to and very friendly. I would 100% recommend a stay here. Absolutely loved it!",carltonæs lodge quiet tidy spacious relaxing place stay perfect location easy get around public transportation walking distance awesome bar restaurant carlton bert nice easy talk friendly would 100 recommend stay absolutely loved,0.0,0.438,0.562,0.9826,positive
Post,Cheska Sagun,2019-11-17,Balai Norte gave us a quiet and relaxing vacation. Their food and beachfront location were excellent.,Experience,Balai Norte gave us a quiet and relaxing vacation. Their food and beachfront location were excellent.,balai norte gave u quiet relaxing vacation food beachfront location excellent,0.0,0.566,0.434,0.7845,positive
Tweet,Bonnie Valdez,2023-05-04,Guests love the range of services provided at Kahuna Beach Resort and Spa.,Accomodation,Guests love the range of services provided at Kahuna Beach Resort and Spa.,guest love range service provided kahuna beach resort spa,0.0,0.656,0.344,0.6369,positive
Tweet,JAZE ??,2024-07-24,Parang gusto ko na agad bumalik ng Elyu,Experience,I feel like I want to go back to Elyu right away,feel like want go back elyu right away,0.0,0.612,0.388,0.4215,positive
Post,Rimando Soria,2023-08-20,Awesome place to stay. Staffs are very accompdating. Very recommendable!#happy365Shorebreak,Accomodation,Awesome place to stay. Staffs are very accommodating. Very recommendable! #happy365Shorebreak,awesome place stay staff accommodating recommendable happy365shorebreak,0.0,0.594,0.406,0.6249,positive
Post,Marlon Amorin Jr.,2022-09-19,"ItÆs easy to find a place containing everything youÆll need for a getaway, but itÆs so rare that youÆll come across an accommodation where all your expectations are met and even exceeded. We found exactly that at Elyu Bakasyunan. Aside from the serene outdoor view surrounding the place and the sleek interior design, what stood out to me was how Tita Bing and her family genuinely looked out for us and ensured everything was going well throughout our stay. These kind-hearted people take pride in giving all their guests the best experience possible, and I think itÆll be a little hard to top this level of hospitality and service. If youÆre looking for a spot to make the most out of your La Union trip, look no further! Elyu Bakasyunan is the place to be. ",Accomodation,"ItÆs easy to find a place containing everything youÆll need for a getaway, but itÆs so rare that youÆll come across an accommodation where all your expectations are met and even exceeded. We found exactly that at Elyu Bakasyunan. Aside from the serene outdoor view surrounding the place and the sleek interior design, what stood out to me was how Tita Bing and her family genuinely looked out for us and ensured everything was going well throughout our stay. These kind-hearted people take pride in giving all their guests the best experience possible, and I think itÆll be a little hard to top this level of hospitality and service. If you're looking for a spot to make the most out of your La Union trip, look no further! Elyu Bakasyunan is the place to be.",itæs easy find place containing everything youæll need getaway itæs rare youæll come across accommodation expectation met even exceeded found exactly elyu bakasyunan aside serene outdoor view surrounding place sleek interior design stood tita bing family genuinely looked u ensured everything going well throughout stay kindhearted people take pride giving guest best experience possible think itæll little hard top level hospitality service youre looking spot make la union trip look elyu bakasyunan place,0.013,0.768,0.219,0.947,positive
Post,Debbie Ferrer,2023-08-11,Ang ganda affordable at very spacious ang mga rooms. Very helpful and friendly ang mga staff . second time na nmin dito and my children wants to come back here again.,Accomodation,The rooms are very affordable and very spacious. The staff is very helpful and friendly. This is my second time here and my children want to come back here again.,room affordable spacious staff helpful friendly second time child want come back,0.0,0.552,0.448,0.743,positive
Tweet,jwl_unfinishedbiz,2024-08-19,Barhopping in Elyu was entertaining; I enjoyed the variety of places to choose from.,Experience,Bar hopping in Elyu was entertaining; I enjoyed the variety of places to choose from.,bar hopping elyu entertaining enjoyed variety place choose,0.0,0.492,0.508,0.7351,positive
Tweet,R U E,2023-01-05,"Bar hopping here is great, though drinks can be a bit pricey.",Activities,"Bar hopping here is great, although drinks can be a bit pricey.",bar hopping great although drink bit pricey,0.0,0.594,0.406,0.6249,positive
Post,Vanessa Diaz Fernandez,2024-06-15,"TERRIBLE ACCOMMODATION

We were all looking forward to a nice place to stay in La Union, then we saw this hostel on IG. Their posts were good so we booked. When you get there you will get EXPECTION vs REALITY!! Their posts are super misleading.

1. BAD ATTITUDE OF THE STAFF. Upon check-in, the receptionist's face was blank. So we gave in because maybe we were just tired. But in our 4D3N stay there, it seems like that attitude is not right anymore. ALL STAFF ACTUALLY! I don't know if that's the only one who is always on purpose, it's like you're too shy to talk to them. Even when asking for the WiFi password, they don't seem to want to give it even when they check in! And until check-out, the attitude of their staff is very disappointing, especially the two receptionists who change every morning and night shift.
2. BEDROOM. Given this is a HOSTEL but it seems like you will be made a spider in a small space! You're barely able to move.
3. WATER. If the water is not EXTREMELY WEAK, they have absolutely NO water. The problem with CR is how it doesn't flush well when you urinate because the water is so weak.
4. COMMON AREAS. You can't hang out in their common area because the fan is broken. It's also hard to hang out in the room because it's so small and you can hardly move.",Accomodation,"TERRIBLE ACCOMMODATION

We were all looking forward to a nice place to stay in La Union, then we saw this hostel on IG. Their posts were good so we booked. When you get there you will get EXPECTATION vs REALITY!! Their posts are super misleading.

1. BAD ATTITUDE OF THE STAFF. Upon check-in, the receptionist's face was blank. So we gave in because maybe we were just tired. But in our 4D3N stay there, it seems like that attitude is not right anymore. ALL STAFF ACTUALLY! I don't know if that's the only one who is always on purpose, it's like you're too shy to talk to them. Even when asking for the WiFi password, they don't seem to want to give it even when they check in! And until check-out, the attitude of their staff is very disappointing, especially the two receptionists who change every morning and night shift.
2. BEDROOM. Given this is a HOSTEL but it seems like you will be made a spider in a small space! You're barely able to move.
3. WATER. If the water is not EXTREMELY WEAK, they have absolutely NO water. The problem with CR is how it doesn't flush well when you urinate because the water is so weak.
4. COMMON AREAS. You can't hang out in their common area because the fan is broken. It's also hard to hang out in the room because it's so small and you can hardly move.",terrible accommodation looking forward nice place stay la union saw hostel ig post good booked get get expectation v reality post super misleading 1 bad attitude staff upon checkin receptionist face blank gave maybe tired 4d3n stay seems like attitude right anymore staff actually dont know thats one always purpose like youre shy talk even asking wifi password dont seem want give even check checkout attitude staff disappointing especially two receptionist change every morning night shift 2 bedroom given hostel seems like made spider small space youre barely able move 3 water water extremely weak absolutely water problem cr doesnt flush well urinate water weak 4 common area cant hang common area fan broken also hard hang room small hardly move,0.22,0.654,0.126,-0.9119,negative
Tweet,Skyler,2023-10-20,The pasta in Urbiz was bland and lacked any real seasoning.,Food,The pasta in Urbiz was bland and lacked any real seasoning.,pasta urbiz bland lacked real seasoning,0.0,1.0,0.0,0.0,positive
Tweet,Robert Speta,2022-03-27,Getting some laps in at one of the surfing capitals of the Philippines today. San Juan in La Union. Beautiful spot!,Activities,Getting some laps in at one of the surfing capitals of the Philippines today. San Juan in La Union. Beautiful spot!,getting lap one surfing capital philippine today san juan la union beautiful spot,0.0,0.755,0.245,0.5994,positive
Post,Kirs Ballescas,2023-07-07,Hi! Highly recommended charlieÆs hangar surf hostel. The staffs made sure the shower rooms are clean 24/7. Super thankful because honest and helpful ang staffs (special mention to Ate Nelly)na nakakita at nag send ng lost phone that i left there when i stayed.,Accomodation,Hi! Highly recommended charlieÆs hangar surf hostel. The staff made sure the shower rooms are clean 24/7. Super thankful because the staff are honest and helpful (special mention to Sister Nelly) who found and sent the lost phone that I left there when I stayed.,hi highly recommended charlieæs hangar surf hostel staff made sure shower room clean 247 super thankful staff honest helpful special mention sister nelly found sent lost phone left stayed,0.05,0.437,0.513,0.9647,positive
Post,Phee Garcia,2024-02-11,"Very friendly staff, especially the owner very accomodating.",Accomodation,"Very friendly staff, especially the owner very accomodating.",friendly staff especially owner accomodating,0.0,0.556,0.444,0.4939,positive
Post,Matthew Paul Santos,2023-06-10,The owners at Seaside Escape made sure we had a hassle-free and enjoyable vacation. WeÆll definitely come back!,Experience,The owners at Seaside Escape made sure we had a hassle-free and enjoyable vacation. We'll definitely come back!,owner seaside escape made sure hasslefree enjoyable vacation well definitely come back,0.0,0.374,0.626,0.8658,positive
Tweet,Elyuttooooooot,2022-11-13,"The party scene in Elyu is intense, but the crowd can get overwhelming at times.",Activities,"The party scene in Elyu is intense, but the crowd can get overwhelming at times.",party scene elyu intense crowd get overwhelming time,0.0,0.6,0.4,0.4588,positive
Tweet,rgtl,2024-07-22,"elyu na elyu na ang tao na to, gusto ko na pumunta sa elyu.",Transportation,"This person is elyu, elyu, I want to go to elyu.",person elyu elyu want go elyu,0.0,0.794,0.206,0.0772,positive
Tweet,Paul,2023-09-05,Elyu trip with the group last year was iconicùwe got buzzed and danced all night long. CanÆt wait to do it again!,Experience,Elyu trip with the group last year was iconicùwe got buzzed and danced all night long. CanÆt wait to do it again!,elyu trip group last year iconicùwe got buzzed danced night long canæt wait,0.0,1.0,0.0,0.0,positive
Post,Elaine Iwa,2023-01-23,"Our Elyu trip was planned only last week of December and one of the reasons why it went ahead is because INN is easy to talk to. Our transaction was smooth. Fortunately, we were accommodated right away because the hotels and transient houses in La Union fill up quickly, especially when there are events.  
For those looking for a place to sleep and stay in Elyu, I recommend INN tayon Elyu. They are 5-7 minutes away from Urbiztondo Beach. The price is affordable and the place is big. You can cook or cook when you are lazy. Actually, they cook well hehe. It's a pity that we only cooked pancit canton yesterday. They also have a mini store where you can buy toiletries and snacks. Also, the people are nice. They have rooms for couples, friends and the whole family.",Accomodation,"Our Elyu trip was planned only last week of December and one of the reasons why it went ahead is because INN is easy to talk to. Our transaction was smooth. Fortunately, we were accommodated right away because the hotels and transient houses in La Union fill up quickly, especially when there are events.  
For those looking for a place to sleep and stay in Elyu, I recommend INN tayon Elyu. They are 5-7 minutes away from Urbiztondo Beach. The price is affordable and the place is big. You can cook or cook when you are lazy. Actually, they cook well hehe. It's a pity that we only cooked pancit canton yesterday. They also have a mini store where you can buy toiletries and snacks. Also, the people are nice. They have rooms for couples, friends and the whole family.",elyu trip planned last week december one reason went ahead inn easy talk transaction smooth fortunately accommodated right away hotel transient house la union fill quickly especially event looking place sleep stay elyu recommend inn tayon elyu 57 minute away urbiztondo beach price affordable place big cook cook lazy actually cook well hehe pity cooked pancit canton yesterday also mini store buy toiletry snack also people nice room couple friend whole family,0.056,0.781,0.162,0.8316,positive
Post,Chris Chan Cervera Mallari,2023-04-03,We had a great time at B&B by ARC Homestay. The owners are very accommodating. The price is just right. The place is organized and clean. I felt at home and well-rested while staying there. 5/5!,Accomodation,We had a great time at B&B by ARC Homestay. The owners are very accommodating. The price is just right. The place is organized and clean. I felt at home and well-rested while staying there. 5/5!,great time bb arc homestay owner accommodating price right place organized clean felt home wellrested staying 55,0.0,0.688,0.312,0.7783,positive
Tweet,Clarence ??,2024-07-19,"Nah, no to Elyu na. Fck braces, gym, eyeglass, and new wardrobe.",Experience,"Nah, no to Elyu. Fck braces, gym, eyeglasses, and new wardrobe.",nah elyu fck brace gym eyeglass new wardrobe,0.167,0.833,0.0,-0.1027,negative
Tweet,??,2024-06-20,"Badly want to go to Elyu, I swear. Solo travel if wala talagang kasama. But my anxiety can't.",Experience,"Badly want to go to Elyu, I swear. Solo travel if there is absolutely no one with you. But my anxiety can't.",badly want go elyu swear solo travel absolutely one anxiety cant,0.431,0.48,0.089,-0.6096,negative
Post,Clarence Tan,2021-08-21,San Juan Surf Resort is my favorite place to stay for surfing and good food in La Union.,Experience,San Juan Surf Resort is my favorite place to stay for surfing and good food in La Union.,san juan surf resort favorite place stay surfing good food la union,0.0,0.629,0.371,0.7096,positive
Tweet,Cyrus Daryl Vinluan,2022-10-22,Tara bili na lang slurpee para di nakkahiya na makikipark lang. HAHAHA #wheninelyu,Experience,Let's just buy a slurpee so it's not embarrassing to just park. HAHAHAHA #wheninelyu,let buy slurpee embarrassing park hahahaha wheninelyu,0.302,0.698,0.0,-0.3818,negative
Tweet,Zennnn,2023-09-07,Surfing lessons felt rushed; I barely had time to practice.,Experience,Surfing lessons felt rushed; I barely had time to practice.,surfing lesson felt rushed barely time practice,0.0,1.0,0.0,0.0,positive
Post,Jamaica Mae Fajardo,2023-05-22,Highly recommended! will surely miss this place.  Super accomodating ng mga mayari parang family turing nila samin during our stay lalo na si nanay na nagaasikaso samin?? Thank you po babalik kami soon.,Accomodation,"Highly recommended! will surely miss this place.  Super accomodating by the owners, they treated us like family during our stay, especially mom who took care of us?? Thank you, we will be back soon.",highly recommended surely miss place super accomodating owner treated u like family stay especially mom took care u thank back soon,0.056,0.418,0.526,0.941,positive
Post,Darwin Martinez,2023-06-22,"We had a great time celebrating a birthday here! The staff were accommodating, and the ambience was perfect for relaxation. The owner even allowed us to extend our stay for free, which was much appreciated. The food was delicious; we ordered their special pizza and burger, which were massive. This place is highly recommended, and I would love to return!",Experience,"We had a great time celebrating a birthday here! The staff were accommodating, and the ambiance was perfect for relaxation. The owner even allowed us to extend our stay for free, which was much appreciated. The food was delicious; we ordered their special pizza and burger, which were massive. This place is highly recommended, and I would love to return!",great time celebrating birthday staff accommodating ambiance perfect relaxation owner even allowed u extend stay free much appreciated food delicious ordered special pizza burger massive place highly recommended would love return,0.0,0.356,0.644,0.9884,positive
Tweet,??,2021-04-30,"The excitement of Elyu is fading, and I donÆt know how to fix it.",Activity,"The excitement of Elyu is fading, and I don't know how to fix it.",excitement elyu fading dont know fix,0.0,0.61,0.39,0.4939,positive
Tweet,Miko ?? || away,2022-05-01,Surf paddling was challenging but rewarding once I got the hang of it.,Experience,Surf paddling was challenging but rewarding once I got the hang of it.,surf paddling challenging rewarding got hang,0.0,0.444,0.556,0.6124,positive
Post,Jennifer Nanayakkara,2020-02-11,I DO NOT RECOMMEND EM Royalle HOTEL. The place is nice and the hotel has a lot of potential. But MANAGEMENT IS KEY. ,Accomodation,I DO NOT RECOMMEND EM Royalle Hotel. The place is nice and the hotel has a lot of potential. But MANAGEMENT IS KEY.,recommend em royalle hotel place nice hotel lot potential management key,0.0,0.629,0.371,0.6486,positive
Tweet,SiennaDelaCruz,2021-11-22,Had a wonderful evening at a rooftop restaurant in San Juanùgreat views!,Experience,Had a wonderful evening at a rooftop restaurant in San Juanùgreat views!,wonderful evening rooftop restaurant san juanùgreat view,0.0,0.619,0.381,0.5719,positive
Post,Jessa Gadon,2024-08-24,i must say the staff are very accommodating and the food that we ordered are super sarap. for sure babalik kami dito. ,Accomodation,i must say the staff are very accommodating and the food that we ordered is super delicious. for sure we will come back here.,must say staff accommodating food ordered super delicious sure come back,0.0,0.447,0.553,0.872,positive
Tweet,Maira Martinez,2024-04-02,"Pottery in Taboc was a unique way to spend the day, but the class ended too quickly.",Experience,"Pottery in Taboc was a unique way to spend the day, but the class ended too quickly.",pottery taboc unique way spend day class ended quickly,0.0,1.0,0.0,0.0,positive
Tweet,mutedchaos,2024-08-24,KermitÆs truffle pasta is pure comfort food!,Food,Kermit's truffle pasta is pure comfort food!,kermits truffle pasta pure comfort food,0.0,0.667,0.333,0.3612,positive
Post,Rachel Munda Cruz,2024-09-08,"If you're looking for an exceptional venue for team building in San Juan, La Union, consider Eventide Chalet. Nestled in the heart of this vibrant coastal town, Eventide Chalet offers a unique combination of relaxation and adventure that's perfect for team-building activities. The accommodation is beautifully designed, featuring spacious, modern rooms with a focus on comfort and style. Each room is equipped with air conditioning, and stunning views of the ocean or lush landscapes, ensuring a comfortable stay for everyone. The property boasts a large, open-air common area ideal for group activities. The Eventide Chalet stands out not only for its excellent facilities but also for its exceptionally accommodating staff. The person in charge at this venue goes above and beyond to ensure a seamless and enjoyable experience for all guests.",Accomodation,"If you're looking for an exceptional venue for team building in San Juan, La Union, consider Eventide Chalet. Nestled in the heart of this vibrant coastal town, Eventide Chalet offers a unique combination of relaxation and adventure that's perfect for team-building activities. The accommodation is beautifully designed, featuring spacious, modern rooms with a focus on comfort and style. Each room is equipped with air conditioning, and stunning views of the ocean or lush landscapes, ensuring a comfortable stay for everyone. The property boasts a large, open-air common area ideal for group activities. The Eventide Chalet stands out not only for its excellent facilities but also for its exceptionally accommodating staff. The person in charge at this venue goes above and beyond to ensure a seamless and enjoyable experience for all guests.",youre looking exceptional venue team building san juan la union consider eventide chalet nestled heart vibrant coastal town eventide chalet offer unique combination relaxation adventure thats perfect teambuilding activity accommodation beautifully designed featuring spacious modern room focus comfort style room equipped air conditioning stunning view ocean lush landscape ensuring comfortable stay everyone property boast large openair common area ideal group activity eventide chalet stand excellent facility also exceptionally accommodating staff person charge venue go beyond ensure seamless enjoyable experience guest,0.0,0.601,0.399,0.9917,positive
Post,Sam Ilby,2023-06-11,"Very friendly,  accommodating and friendly  staff,  I  recommend",Accomodation,"Very friendly, accommodating and friendly staff, I recommend",friendly accommodating friendly staff recommend,0.0,0.183,0.817,0.836,positive
Tweet,Finn ?? || off wandering,2023-10-04,"Surf paddling in Elyu was tough, but once I got the hang of it, it was so much fun.",Experience,"Surf paddling in Elyu was tough, but once I got the hang of it, it was so much fun.",surf paddling elyu tough got hang much fun,0.139,0.556,0.306,0.4215,positive
Tweet,Perseus King Mendalla,2021-12-03,"Weekend vibes @Elyu
 #SanJuanLaunion ",Experience,"Weekend vibes @Elyu
 #SanJuanLaunion",weekend vibe elyu sanjuanlaunion,0.0,1.0,0.0,0.0,positive
Post,Jrukawa Reyesá,2024-06-26,"super sulit ,magnda ,complete lahat,sabon,towel,shampoo,soap,malinis ang buong lugar noka baet ng may ari at care taker,maganda ang dagat and pool, kng ppunta kami ng elyu dito lang tlga mura at maganda slamat po",Accomodation,"super worth it, beautiful, everything complete, soap, towel, shampoo, soap, the whole place is clean thanks to the owner and care taker, the sea and pool are beautiful, if we are going to stay here, it's cheap and beautiful, thank you",super worth beautiful everything complete soap towel shampoo soap whole place clean thanks owner care taker sea pool beautiful going stay cheap beautiful thank,0.0,0.342,0.658,0.9814,positive
Post,Russel Bayya,2024-04-18,"We stayed in this room on April 13-14. I thought that it was too good to be true since the price is affordable. So just like other customers, I did ask for more information and posted to check the legitimacy since there's no reviews in tiktok and this is not available in any booking apps. The owner is so responsive and accomodating. To sum it up, they are legit and they are superb!",Accomodation,"We stayed in this room on April 13-14. I thought that it was too good to be true since the price is affordable. So just like other customers, I did ask for more information and posted to check the legitimacy since there's no reviews in tiktok and this is not available in any booking apps. The owner is so responsive and accommodating. To sum it up, they are legit and they are superb!",stayed room april 1314 thought good true since price affordable like customer ask information posted check legitimacy since there review tiktok available booking apps owner responsive accommodating sum legit superb,0.0,0.628,0.372,0.93,positive
Post,Mysel Bagasina,2024-01-31,Super relaxing and clean place. The kindness of the staff even at 2am answering inquiries. BACK BACK! 10/10,Accomodation,Super relaxing and clean place. The kindness of the staff even at 2am answering inquiries. BACK BACK! 10/10,super relaxing clean place kindness staff even 2am answering inquiry back back 1010,0.0,0.413,0.587,0.9153,positive
Post,Reb DG,2024-05-26,The best guesthouse in San Juan. very accomodating we will come back here,Accomodation,The best guesthouse in San Juan. very accomodating we will come back here,best guesthouse san juan accomodating come back,0.0,0.588,0.412,0.6369,positive
Post,Jj Ledesma,2020-01-19,Goodvibes!! One love movement.,Activities,Goodvibes!! One love movement.,goodvibes one love movement,0.0,0.417,0.583,0.6369,positive
Tweet,freya,2024-08-02,Elyu night sana kaso i dont drink and i hate crowds,Activity,I hope it's Elyu night because I don't drink and I hate crowds,hope elyu night dont drink hate crowd,0.0,0.459,0.541,0.7094,positive
Post,John Patrick Beltran,2023-07-08,"Had a great stay at Lone Star last June. The rooms are spacious, clean, and have great air conditioning. The room has a good bathroom & bidet. Lone Star a great host and very accommodating staff! Thank you for the warm welcome, MaÆam Marissa. My friends and I had a pleasant stay at Lone Star.",Accomodation,"Had a great stay at Lone Star last June. The rooms are spacious, clean, and have great air conditioning. The room has a good bathroom & bidet. Lone Star a great host and very accommodating staff! Thank you for the warm welcome, MaÆam Marissa. My friends and I had a pleasant stay at Lone Star.",great stay lone star last june room spacious clean great air conditioning room good bathroom bidet lone star great host accommodating staff thank warm welcome maæam marissa friend pleasant stay lone star,0.11,0.333,0.557,0.9788,positive
Tweet,MelinaMendez,2019-05-30,He just discovered a hidden beach while exploring San Juanùparadise found!,Experience,He just discovered a hidden beach while exploring San Juanùparadise found!,discovered hidden beach exploring san juanùparadise found,0.0,1.0,0.0,0.0,positive
Reply,Nova ? Starlit Dreams,2022-07-25,Pottery in Taboc gave me a deeper appreciation for local craftsmanship.,Experience,Pottery in Taboc gave me a deeper appreciation for local craftsmanship.,pottery taboc gave deeper appreciation local craftsmanship,0.0,0.645,0.355,0.5106,positive
Post,Bianca Garcia,2023-11-11,"The stay was fantastic! The owners were warm and welcoming, and the food was delicious. I canÆt wait to return for another memorable experience!",Experience,"The stay was fantastic! The owners were warm and welcoming, and the food was delicious. I can't wait to return for another memorable experience!",stay fantastic owner warm welcoming food delicious cant wait return another memorable experience,0.0,0.427,0.573,0.9022,positive
Post,Lorenzo Vergara,2024-06-03,"Most restaurants in San Juan La Union are not air conditioned. But this one is! So if you are walking along the street and want to cool down, then The Coffee Library is the place to be! They offer a wide range of food/drinks with a reasonable price. The place is also cozy to stay in. I just wish they had more seats but the place is almost always jam packed.",Food,"Most restaurants in San Juan La Union are not air conditioned. But this one is! So if you are walking along the street and want to cool down, then The Coffee Library is the place to be! They offer a wide range of food/drinks with a reasonable price. The place is also cozy to stay in. I just wish they had more seats but the place is almost always jam packed.",restaurant san juan la union air conditioned one walking along street want cool coffee library place offer wide range fooddrinks reasonable price place also cozy stay wish seat place almost always jam packed,0.0,0.826,0.174,0.6486,positive
Post,Catherine Alcaraz Capricho,2024-07-22,"It was worth what we paid here at the Eventide chalet la Union. Fragrant, clean, strong air conditioning in every room, the caretaker is kind, the cooking utensils are complete and you can relax there.",Accomodation,"It was worth what we paid here at the Eventide chalet la Union. Fragrant, clean, strong air conditioning in every room, the caretaker is kind, the cooking utensils are complete and you can relax there.",worth paid eventide chalet la union fragrant clean strong air conditioning every room caretaker kind cooking utensil complete relax,0.0,0.496,0.504,0.9217,positive
Post,Raquel Mendoza,2022-05-31,"Vessel Hostel is perfect for budget-conscious travelers looking for a chill, beachy vibe.",Experience,"Vessel Hostel is perfect for budget-conscious travelers looking for a chill, beachy vibe.",vessel hostel perfect budgetconscious traveler looking chill beachy vibe,0.0,0.684,0.316,0.5719,positive
